yb_1,er_1,tm_1,yb_2,er_2,tm_2,radius,UV,VIS,BLUE,GREEN,RED,TOTAL,ABSORPTION,qe
1.0,0.0,0.0,0.856,0.144,0.0,21.0,43.749989,356.249913,62.499985,168.749956,118.749972,437.499894,21249.99502,8e-05
0.487,0.513,0.0,1.0,0.0,0.0,23.0,406.249903,4074.998894,243.749926,918.749762,2774.999249,4793.748721,26462.493143,0.00091
0.016,0.548,0.297,0.381,0.134,0.403,19.0,0.0,74.999865,0.0,6.249989,68.749877,81.249845,4293.744197,3.8e-05
0.012,0.404,0.15,0.078,0.211,0.323,17.0,0.0,49.999635,6.249921,12.499827,31.249887,49.999635,1012.480358,7.5e-05
0.364,0.05,0.023,0.089,0.205,0.0,15.0,99.999819,774.997086,62.499704,381.248663,306.24873,1081.246001,4649.981128,0.001244
0.0,0.0,1.0,0.0,0.395,0.605,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.141,0.0,0.0,27.0,0.0,293.748868,0.0,49.999903,243.748965,337.498622,2274.992362,0.00036
0.182,0.818,0.0,1.0,0.0,0.0,29.0,37.499978,793.749591,31.249988,243.749867,493.749751,924.99952,6981.24561,0.000259
0.0,0.0,1.0,0.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,6.24969,0.0
0.0,1.0,0.0,0.0,0.0,1.0,33.0,0.0,68.749578,0.0,31.249816,37.499762,118.749195,943.745042,0.000128
0.0,0.0,1.0,0.0,0.79,0.21,5.0,0.0,68.74965,0.0,12.499992,56.249658,74.999597,412.49784,9.2e-05
0.0,0.019,0.981,1.0,0.0,0.0,25.0,0.0,24.999997,0.0,0.0,24.999997,112.499984,12193.74821,3e-05
1.0,0.0,0.0,0.38,0.0,0.62,5.0,0.0,6.249992,0.0,0.0,6.249992,18.749936,6737.490346,8e-06
0.0,0.095,0.905,0.572,0.428,0.0,5.0,68.749949,993.749451,99.999942,231.249872,637.499653,1212.499352,7424.996132,0.000309
1.0,0.0,0.0,1.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,42356.244318,0.0
0.0,0.0,1.0,0.0,0.499,0.501,5.0,0.0,12.499973,0.0,0.0,12.499973,12.499973,256.249098,2.5e-05
1.0,0.0,0.0,0.0,0.765,0.235,5.0,0.0,43.749745,0.0,0.0,43.749745,56.249647,631.246312,7e-05
0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.249273,0.0
0.0,0.13,0.87,0.586,0.414,0.0,19.0,6.249997,281.24991,18.749993,24.999991,231.249928,393.749873,4324.998897,0.000118
0.0,0.644,0.356,0.841,0.159,0.0,17.0,37.499993,1687.499399,112.499963,162.499952,1412.499485,1999.999302,11174.995464,0.000423
0.0,0.0,1.0,0.0,0.684,0.316,33.0,0.0,0.0,0.0,0.0,0.0,0.0,6.249812,0.0
0.0,0.0,1.0,0.294,0.0,0.706,19.0,0.0,0.0,0.0,0.0,0.0,6.249999,3699.99298,4e-06
0.0,0.0,1.0,0.564,0.0,0.436,33.0,0.0,0.0,0.0,0.0,0.0,6.249781,431.23622,1.7e-05
0.0,1.0,0.0,0.0,0.295,0.705,21.0,0.0,74.999257,0.0,24.999832,49.999425,81.24924,649.995081,0.000177
0.0,1.0,0.0,0.0,0.867,0.133,19.0,6.249985,93.74953,0.0,24.999891,68.74964,112.499436,818.745902,0.000122
0.0,0.0,1.0,0.497,0.0,0.503,5.0,0.0,12.499991,0.0,0.0,12.499991,37.499974,9724.992995,1.2e-05
1.0,0.0,0.0,0.0,0.155,0.845,33.0,0.0,6.25,0.0,0.0,6.25,6.25,43581.244371,1e-06
0.981,0.0,0.019,0.629,0.371,0.0,5.0,37.499966,574.999572,49.999912,162.499892,337.499782,699.999496,9099.992516,0.000166
0.058,0.942,0.0,0.808,0.0,0.192,25.0,91.666605,1008.332892,33.333326,224.999893,741.666347,1249.999431,9858.328556,0.000355
1.0,0.0,0.0,0.0,0.588,0.412,33.0,0.0,24.999995,12.499999,12.499996,0.0,24.999995,30556.245733,5e-06
0.0,0.607,0.0,1.0,0.0,0.0,21.0,299.999944,2168.749627,56.249991,549.999911,1468.749741,2699.999525,25399.995897,0.000555
0.0,1.0,0.0,0.354,0.38,0.266,5.0,0.0,231.249779,24.999963,6.25,199.999816,274.999767,3856.246732,0.000108
0.107,0.236,0.579,0.075,0.003,0.019,25.0,0.0,87.499965,0.0,0.0,87.499965,131.249937,2181.249093,0.00021
0.0,0.0,1.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,124.999707,8.333214,16.666659,99.999833,124.999707,783.331172,0.000121
0.019,0.981,0.0,0.479,0.0,0.0,19.0,574.999746,4437.498087,187.499901,774.999643,3312.49864,5224.997765,16362.493455,0.002042
0.006,0.465,0.414,0.23,0.146,0.26,31.0,0.0,6.249961,0.0,0.0,6.249961,6.249961,812.496754,8e-06
1.0,0.0,0.0,0.0,1.0,0.0,25.0,0.0,62.499971,0.0,49.999977,12.499993,74.999964,9812.495276,2.5e-05
0.002,0.054,0.489,0.03,0.295,0.135,19.0,0.0,31.249903,0.0,6.249994,24.999909,49.999793,424.995062,0.000119
0.012,0.322,0.089,0.26,0.179,0.208,17.0,0.0,131.249591,6.249965,56.249811,68.749815,162.499498,3531.240319,0.000101
0.0,1.0,0.0,0.0,0.0,0.123,15.0,12.499654,162.49727,6.249934,24.999479,124.998136,193.74681,506.241977,0.002281
0.0,0.0,0.0,0.0,0.619,0.0,5.0,0.0,37.49956,6.249948,18.749752,12.499859,49.99929,693.745031,7.9e-05
0.0,0.0,1.0,0.471,0.529,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,381.232726,0.0
0.0,1.0,0.0,0.542,0.0,0.458,5.0,0.0,31.24998,0.0,0.0,31.24998,81.249963,10381.244738,2.5e-05
1.0,0.0,0.0,0.0,0.515,0.485,5.0,0.0,43.749634,6.249968,0.0,37.499666,43.749634,356.245111,8e-05
0.0,1.0,0.0,0.454,0.546,0.0,33.0,6.249988,62.499624,0.0,12.499947,43.749689,81.249569,1074.993623,6.3e-05
1.0,0.0,0.0,0.0,0.264,0.736,15.0,0.0,0.0,0.0,0.0,0.0,6.249999,4112.494713,8e-06
0.0,0.0,1.0,0.0,0.426,0.574,19.0,0.0,6.249971,0.0,0.0,6.249971,6.249971,181.242024,1.7e-05
0.0,0.0,1.0,1.0,0.0,0.0,5.0,874.999912,912.499909,306.249967,218.749979,381.249963,2574.99975,41431.246019,0.000432
1.0,0.0,0.0,0.054,0.0,0.946,5.0,0.0,0.0,0.0,0.0,0.0,0.0,806.236565,0.0
0.0,1.0,0.0,0.0,0.0,0.414,33.0,0.0,93.749474,0.0,37.499738,56.249736,112.499385,924.993554,0.000121
0.068,0.05,0.023,0.316,0.181,0.096,9.0,49.999918,518.749138,31.249956,112.499819,362.499387,712.498839,5887.48976,0.000341
0.0,0.0,1.0,0.0,0.797,0.203,21.0,0.0,6.249964,0.0,0.0,6.249964,12.49996,137.49897,1.9e-05
0.0,1.0,0.0,0.0,0.0,0.0,5.0,6.224376,49.690196,0.0,6.20043,43.489766,55.914572,174.400602,0.022584
0.0,0.0,1.0,0.291,0.0,0.709,33.0,0.0,0.0,0.0,0.0,0.0,0.0,206.216156,0.0
0.0,1.0,0.0,0.0,0.0,0.748,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
